[GIN] 2018/11/01 - 20:35:46 | 500 |           1ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 20:36:06 | 404 |      1.0001ms |             ::1 | POST     /api/menureset
[GIN] 2018/11/01 - 20:36:18 | 500 |      1.0001ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 20:38:05 | 200 |      2.0001ms |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 20:38:31 | 500 |           1ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 20:49:18 | 500 |           1ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 20:51:55 | 200 |            0s |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 20:51:58 | 500 |      1.0001ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 20:54:58 | 400 |            0s |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 21:05:54 | 200 |            0s |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 21:07:18 | 500 |      1.0001ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 21:07:28 | 500 |           1ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 21:07:36 | 400 |            0s |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 21:07:57 | 400 |      1.0001ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 21:08:00 | 500 |      1.0001ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 21:08:08 | 500 |           1ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 21:08:12 | 400 |            0s |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 21:08:30 | 500 |           1ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 21:09:05 | 500 |      2.0001ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 21:12:02 | 500 |      1.0001ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 21:14:49 | 500 |      1.0001ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 21:14:53 | 500 |      1.0001ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 21:16:48 | 500 |      2.0001ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 21:24:34 | 500 |      2.0002ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 21:27:37 | 500 |           1ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 21:28:35 | 500 |      1.0001ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 21:28:59 | 500 |      2.0001ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 21:36:28 | 500 |      2.0001ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 21:36:30 | 500 |           1ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 21:36:31 | 500 |           1ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 21:43:20 | 200 |     77.0044ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 21:45:53 | 200 |      1.0001ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 21:46:12 | 200 |      3.0002ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/01 - 21:58:43 | 500 |      5.0003ms |             ::1 | DELETE   /api/menudelete
[GIN] 2018/11/01 - 21:59:43 | 200 |      1.0001ms |             ::1 | GET      /api/menulist
[GIN] 2018/11/01 - 21:59:58 | 200 |      5.0003ms |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/01 - 22:00:17 | 200 |      2.0001ms |             ::1 | DELETE   /api/menudelete
[GIN] 2018/11/01 - 22:00:28 | 200 |      1.0001ms |             ::1 | DELETE   /api/menudelete
[GIN] 2018/11/01 - 22:00:44 | 200 |      1.0001ms |             ::1 | DELETE   /api/menudelete
[GIN] 2018/11/02 - 14:26:09 | 400 |      1.0001ms |             ::1 | DELETE   /api/menudelete
[GIN] 2018/11/02 - 14:29:23 | 400 |      2.0001ms |             ::1 | DELETE   /api/menudelete
[GIN] 2018/11/02 - 14:31:10 | 400 |      2.0001ms |             ::1 | DELETE   /api/menudelete
[GIN] 2018/11/02 - 15:25:00 | 200 |            0s |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 15:25:16 | 200 |            0s |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 16:06:21 | 500 |      8.0005ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 16:08:49 | 500 |      9.0005ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 16:11:39 | 200 |            0s |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 16:13:30 | 200 |            0s |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 16:17:00 | 200 |            0s |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 16:21:44 | 200 |            0s |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 16:22:20 | 200 |            0s |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 16:22:53 | 500 |      2.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 16:23:24 | 500 |      1.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 16:27:36 | 500 |      1.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 16:29:59 | 500 |      2.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 16:30:54 | 200 |           1ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 16:31:34 | 500 |      2.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 16:42:53 | 500 |      1.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 16:46:03 | 200 |      2.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 16:47:15 | 200 |      2.0002ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 16:50:10 | 500 |           1ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 16:51:27 | 500 |           1ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 16:51:31 | 500 |           1ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 16:53:40 | 500 |      1.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 16:54:32 | 500 |      2.0002ms |             ::1 | GET      /api/menulist?page=1&limit=10
